value,date
148,2016-03-20 20:09:28 -0300
100,2016-03-20 20:20:31 -0300
76,2016-03-21 07:15:10 -0300
54,2016-03-21 07:24:10 -0300
68,2016-03-21 07:29:28 -0300
209,2016-03-21 08:18:55 -0300
26,2016-03-21 08:24:29 -0300
381,2016-03-21 12:25:16 -0300
287,2016-03-21 12:30:17 -0300
512,2016-03-21 12:35:18 -0300
42,2016-03-21 12:40:20 -0300
31,2016-03-21 17:59:29 -0300
432,2016-03-21 18:04:45 -0300
105,2016-03-21 18:09:50 -0300
380,2016-03-21 18:20:23 -0300
45,2016-03-21 18:29:23 -0300
589,2016-03-21 18:42:42 -0300
643,2016-03-21 18:47:52 -0300
176,2016-03-21 18:52:53 -0300
79,2016-03-21 18:57:55 -0300
26,2016-03-21 19:26:49 -0300
20,2016-03-21 20:50:34 -0300
215,2016-03-21 21:40:11 -0300
11,2016-03-21 21:45:13 -0300
8,2016-03-21 22:00:08 -0300
495,2016-03-21 22:06:27 -0300
57,2016-03-21 22:11:05 -0300
8,2016-03-22 07:40:40 -0300
371,2016-03-22 08:00:37 -0300
227,2016-03-22 08:05:38 -0300
30,2016-03-22 08:08:04 -0300
332,2016-03-22 08:13:06 -0300
584,2016-03-22 08:27:41 -0300
584,2016-03-22 08:32:43 -0300
147,2016-03-22 08:37:45 -0300
167,2016-03-22 08:50:27 -0300
473,2016-03-22 10:36:50 -0300
538,2016-03-22 10:41:59 -0300
163,2016-03-22 10:46:47 -0300
543,2016-03-22 10:51:57 -0300
21,2016-03-22 10:57:02 -0300
89,2016-03-22 11:55:06 -0300
87,2016-03-22 11:56:08 -0300
7,2016-03-22 11:57:09 -0300
289,2016-03-22 12:28:34 -0300
536,2016-03-22 13:58:48 -0300
619,2016-03-22 14:03:50 -0300
280,2016-03-22 14:08:52 -0300
38,2016-03-22 14:19:44 -0300
616,2016-03-22 14:31:27 -0300
443,2016-03-22 14:36:32 -0300
101,2016-03-22 14:41:35 -0300
20,2016-03-22 14:47:24 -0300
36,2016-03-22 14:52:33 -0300
17,2016-03-22 15:04:28 -0300
44,2016-03-22 15:15:02 -0300
6,2016-03-22 15:20:12 -0300
8,2016-03-22 15:58:14 -0300
42,2016-03-22 16:21:38 -0300
4,2016-03-22 16:26:47 -0300
67,2016-03-22 16:37:09 -0300
291,2016-03-22 16:57:50 -0300
108,2016-03-22 17:02:52 -0300
7,2016-03-22 17:03:54 -0300
